time	V(n001)
Step Information: Bias=200m  (Run: 1/4)
0.000000000000000e+000	4.363744e+000
1.183107199629301e-002	4.362265e+000
1.273107199629301e-002	4.384461e+000
1.333107199629301e-002	4.348081e+000
1.383107199629300e-002	4.269113e+000
1.403107199629300e-002	4.260511e+000
1.423107199629300e-002	4.285789e+000
1.443107199629300e-002	4.352857e+000
1.453107199629300e-002	4.400483e+000
1.463107199629300e-002	4.450490e+000
1.473107199629300e-002	4.494191e+000
1.483107199629300e-002	4.523786e+000
1.494357199629300e-002	4.539655e+000
1.496857199629300e-002	4.538963e+000
1.501857199629300e-002	4.538265e+000
1.510387096909771e-002	4.540731e+000
1.517887096909771e-002	4.539925e+000
1.527887096909771e-002	4.529473e+000
1.537887096909770e-002	4.521345e+000
1.567887096909770e-002	4.510892e+000
1.597887096909770e-002	4.496108e+000
1.617887096909770e-002	4.458498e+000
1.627887096909770e-002	4.396712e+000
1.637887096909770e-002	4.251845e+000
1.647887096909770e-002	3.994370e+000
1.648966990072488e-002	3.944714e+000
1.651126776397925e-002	3.794622e+000
1.656526242211518e-002	3.338909e+000
1.658686028536955e-002	3.178764e+000
1.661533710493632e-002	3.030760e+000
1.664987270126829e-002	2.908044e+000
1.669051722122945e-002	2.802347e+000
1.677180626115176e-002	2.625867e+000
1.687180626115176e-002	2.434614e+000
1.697180626115176e-002	2.286296e+000
1.707180626115176e-002	2.177935e+000
1.757180626115176e-002	1.736742e+000
1.817180626115175e-002	1.240471e+000
1.847180626115175e-002	1.004894e+000
1.867180626115175e-002	8.602467e-001
1.877180626115175e-002	7.957461e-001
1.887180626115175e-002	7.389333e-001
1.897180626115175e-002	6.896212e-001
1.907180626115175e-002	6.464458e-001
1.917180626115175e-002	6.090801e-001
1.927180626115175e-002	5.782099e-001
1.937180626115174e-002	5.541282e-001
1.947180626115174e-002	5.368119e-001
1.957180626115174e-002	5.274395e-001
1.967180626115174e-002	5.292125e-001
1.977180626115174e-002	5.332087e-001
1.987180626115174e-002	5.128981e-001
1.997180626115174e-002	4.593216e-001
2.008430626115174e-002	3.823357e-001
2.010930626115174e-002	3.681081e-001
2.015930626115174e-002	3.496288e-001
2.021391179430121e-002	3.413954e-001
2.031391179430121e-002	3.410355e-001
2.041391179430121e-002	3.468241e-001
2.051391179430121e-002	3.567657e-001
2.061391179430121e-002	3.711932e-001
2.071391179430121e-002	3.924670e-001
2.081391179430121e-002	4.347481e-001
2.091391179430121e-002	5.106186e-001
2.092106351340620e-002	5.202820e-001
2.097112554714119e-002	6.157177e-001
2.101403586177117e-002	7.062697e-001
2.107124961461115e-002	8.366395e-001
2.117124961461115e-002	1.080711e+000
2.118374961461115e-002	1.115396e+000
2.121351417734161e-002	1.211295e+000
2.122304330280254e-002	1.249219e+000
2.124210155372440e-002	1.324504e+000
2.127128875507346e-002	1.429254e+000
2.130315977186674e-002	1.529875e+000
2.134253420719251e-002	1.639581e+000
2.139724268406249e-002	1.776890e+000
2.148834976347749e-002	1.995533e+000
2.158380271604637e-002	2.226583e+000
2.168380271604637e-002	2.473277e+000
2.178380271604637e-002	2.724625e+000
2.188380271604637e-002	2.978741e+000
2.198380271604637e-002	3.231398e+000
2.208380271604637e-002	3.480069e+000
2.218380271604637e-002	3.724669e+000
2.228380271604637e-002	3.968435e+000
2.238380271604637e-002	4.223176e+000
2.248380271604637e-002	4.491601e+000
2.258380271604637e-002	4.744108e+000
2.268365208268728e-002	4.929544e+000
2.275990969390419e-002	4.990572e+000
2.283400357765000e-002	4.996287e+000
2.291618648525725e-002	4.990947e+000
2.299438356157659e-002	4.986821e+000
2.309438356157659e-002	4.985358e+000
2.319438356157659e-002	4.985497e+000
2.329438356157659e-002	4.985795e+000
2.339438356157659e-002	4.986470e+000
2.349438356157659e-002	4.987012e+000
2.359438356157659e-002	4.987357e+000
2.369438356157659e-002	4.985587e+000
2.379438356157659e-002	4.980027e+000
2.380181524326026e-002	4.978980e+000
2.384268949252046e-002	4.966896e+000
2.387241621925515e-002	4.958262e+000
2.393186967272453e-002	4.956067e+000
2.403186967272453e-002	4.976744e+000
2.413144718351611e-002	4.991081e+000
2.422284195338513e-002	4.992083e+000
2.432284195338513e-002	4.991005e+000
2.442284195338513e-002	4.989984e+000
2.462284195338513e-002	4.988036e+000
2.492284195338513e-002	4.984818e+000
2.502284195338513e-002	4.983519e+000
2.512284195338512e-002	4.981624e+000
2.522284195338512e-002	4.975157e+000
2.532284195338512e-002	4.960087e+000
2.532836556059177e-002	4.958116e+000
2.533941277500505e-002	4.950877e+000
2.536150720383163e-002	4.926126e+000
2.538874902118209e-002	4.872522e+000
2.542632716573880e-002	4.764069e+000
2.546441385351574e-002	4.630714e+000
2.550269845557323e-002	4.482073e+000
2.554538960527423e-002	4.295920e+000
2.558874797715645e-002	4.084156e+000
2.563138284178169e-002	3.867794e+000
2.567677492255336e-002	3.652940e+000
2.573502071054831e-002	3.423058e+000
2.580530545000915e-002	3.197026e+000
2.590530545000915e-002	2.908770e+000
2.600530545000914e-002	2.630411e+000
2.610530545000914e-002	2.357925e+000
2.620530545000914e-002	2.090995e+000
2.630530545000914e-002	1.829797e+000
2.640530545000914e-002	1.574177e+000
2.650530545000914e-002	1.321202e+000
2.660530545000914e-002	1.053834e+000
2.670530545000914e-002	7.556526e-001
2.671780545000914e-002	7.130911e-001
2.674280545000914e-002	6.230061e-001
2.679280545000914e-002	4.572708e-001
2.688998038736032e-002	2.049200e-001
2.698352022131806e-002	7.153826e-002
2.707051641750387e-002	3.790550e-002
2.717051641750387e-002	3.734089e-002
2.727051641750387e-002	3.777282e-002
2.737051641750387e-002	3.699482e-002
2.757051641750387e-002	3.482112e-002
2.787051641750386e-002	3.146587e-002
2.797051641750386e-002	3.067938e-002
2.807051641750386e-002	3.193957e-002
2.817051641750386e-002	3.689424e-002
2.818406897240625e-002	3.841298e-002
2.820213904560944e-002	3.801727e-002
2.823262439731929e-002	3.007690e-002
2.826279098095252e-002	1.766105e-002
2.829996711894021e-002	7.372169e-003
2.833589117726505e-002	1.163781e-002
2.837958812588716e-002	2.694072e-002
2.841843712828240e-002	3.066623e-002
2.845732615618259e-002	2.235204e-002
2.849799394035807e-002	1.535014e-002
2.853725124448397e-002	1.665623e-002
2.861270108206662e-002	2.926912e-002
2.868428783873678e-002	4.240097e-002
2.878428783873678e-002	5.739753e-002
2.888428783873678e-002	7.078317e-002
2.898428783873678e-002	8.557869e-002
2.908428783873678e-002	1.037959e-001
2.918428783873678e-002	1.269245e-001
2.928428783873678e-002	1.564809e-001
2.938428783873678e-002	1.993288e-001
2.948428783873678e-002	2.762893e-001
2.958428783873678e-002	3.968367e-001
2.959678783873678e-002	4.169083e-001
2.962178783873678e-002	4.667119e-001
2.967178783873678e-002	6.079626e-001
2.975458329453909e-002	9.185049e-001
2.983651288417776e-002	1.223407e+000
2.991513089195987e-002	1.472591e+000
3.001513089195987e-002	1.759365e+000
3.011513089195987e-002	2.037280e+000
3.021513089195987e-002	2.308750e+000
3.041513089195987e-002	2.835961e+000
3.071513089195987e-002	3.590160e+000
3.081513089195987e-002	3.833486e+000
3.091513089195987e-002	4.083421e+000
3.101513089195987e-002	4.351194e+000
3.103719227110513e-002	4.420892e+000
3.106660744329881e-002	4.510226e+000
3.110854124411836e-002	4.625105e+000
3.114844505025670e-002	4.726179e+000
3.118958059231854e-002	4.827382e+000
3.122847605523241e-002	4.912350e+000
3.127013159452897e-002	4.971541e+000
3.130925536025602e-002	4.992949e+000
3.135115179863324e-002	4.997311e+000
3.139210052325475e-002	4.996778e+000
3.146350677563313e-002	4.991779e+000
3.153461532884560e-002	4.987699e+000
3.163461532884560e-002	4.985698e+000
3.173461532884560e-002	4.985429e+000
3.183461532884561e-002	4.985756e+000
3.193461532884561e-002	4.986300e+000
3.203461532884561e-002	4.986912e+000
3.213461532884562e-002	4.987333e+000
3.223461532884562e-002	4.986628e+000
3.233461532884562e-002	4.979623e+000
3.243461532884562e-002	4.962108e+000
3.244711532884562e-002	4.958865e+000
